# finding_id	entity_id	entity_kind	entity_file	finding_type	claim_locator
CV914-0001	BMA-TP53-MUT-CLL	BMA	bma_tp53_mut_cll.yaml	missing-trial-source	docs/reviews/citation-verification-2026-04-27.md:63
CV914-0002	BMA-TP53-MUT-CLL	BMA	bma_tp53_mut_cll.yaml	level-mismatch	docs/reviews/citation-verification-2026-04-27.md:64
CV914-0003	BMA-TP53-MUT-CLL	BMA	bma_tp53_mut_cll.yaml	drug-inconsistency	docs/reviews/citation-verification-2026-04-27.md:65
CV914-0004	BMA-TP53-MUT-CLL	BMA	bma_tp53_mut_cll.yaml	drug-inconsistency	docs/reviews/citation-verification-2026-04-27.md:66
CV914-0005	BMA-TP53-MUT-CLL	BMA	bma_tp53_mut_cll.yaml	drug-inconsistency	docs/reviews/citation-verification-2026-04-27.md:67
CV914-0006	BMA-TP53-MUT-CLL	BMA	bma_tp53_mut_cll.yaml	drug-inconsistency	docs/reviews/citation-verification-2026-04-27.md:68
CV914-0007	BMA-BCR-ABL1-P210-BALL	BMA	bma_bcr_abl1_p210_ball.yaml	missing-trial-source	docs/reviews/citation-verification-2026-04-27.md:71
CV914-0008	BMA-BCR-ABL1-P210-BALL	BMA	bma_bcr_abl1_p210_ball.yaml	missing-regulatory-source	docs/reviews/citation-verification-2026-04-27.md:72
CV914-0009	BMA-BCR-ABL1-P210-BALL	BMA	bma_bcr_abl1_p210_ball.yaml	level-mismatch	docs/reviews/citation-verification-2026-04-27.md:73
CV914-0010	BMA-BCR-ABL1-P210-BALL	BMA	bma_bcr_abl1_p210_ball.yaml	drug-inconsistency	docs/reviews/citation-verification-2026-04-27.md:74
CV914-0011	BMA-BCR-ABL1-P210-BALL	BMA	bma_bcr_abl1_p210_ball.yaml	drug-inconsistency	docs/reviews/citation-verification-2026-04-27.md:75
CV914-0012	BMA-BRCA1-GERMLINE-OVARIAN	BMA	bma_brca1_germline_ovarian.yaml	missing-trial-source	docs/reviews/citation-verification-2026-04-27.md:78
CV914-0013	BMA-BRCA1-GERMLINE-OVARIAN	BMA	bma_brca1_germline_ovarian.yaml	missing-trial-source	docs/reviews/citation-verification-2026-04-27.md:79
CV914-0014	BMA-BRCA1-GERMLINE-OVARIAN	BMA	bma_brca1_germline_ovarian.yaml	missing-trial-source	docs/reviews/citation-verification-2026-04-27.md:80
CV914-0015	BMA-BRCA1-GERMLINE-OVARIAN	BMA	bma_brca1_germline_ovarian.yaml	missing-regulatory-source	docs/reviews/citation-verification-2026-04-27.md:81
CV914-0016	BMA-BRCA1-GERMLINE-OVARIAN	BMA	bma_brca1_germline_ovarian.yaml	drug-inconsistency	docs/reviews/citation-verification-2026-04-27.md:82
CV914-0017	BMA-BRCA1-GERMLINE-PROSTATE	BMA	bma_brca1_germline_prostate.yaml	missing-trial-source	docs/reviews/citation-verification-2026-04-27.md:85
CV914-0018	BMA-BRCA1-GERMLINE-PROSTATE	BMA	bma_brca1_germline_prostate.yaml	missing-trial-source	docs/reviews/citation-verification-2026-04-27.md:86
CV914-0019	BMA-BRCA1-GERMLINE-PROSTATE	BMA	bma_brca1_germline_prostate.yaml	missing-regulatory-source	docs/reviews/citation-verification-2026-04-27.md:87
CV914-0020	BMA-BRCA1-GERMLINE-PROSTATE	BMA	bma_brca1_germline_prostate.yaml	drug-inconsistency	docs/reviews/citation-verification-2026-04-27.md:88
CV914-0021	BMA-BRCA1-GERMLINE-PROSTATE	BMA	bma_brca1_germline_prostate.yaml	drug-inconsistency	docs/reviews/citation-verification-2026-04-27.md:89
CV914-0022	BMA-BRCA2-GERMLINE-BREAST	BMA	bma_brca2_germline_breast.yaml	missing-trial-source	docs/reviews/citation-verification-2026-04-27.md:92
CV914-0023	BMA-BRCA2-GERMLINE-BREAST	BMA	bma_brca2_germline_breast.yaml	missing-trial-source	docs/reviews/citation-verification-2026-04-27.md:93
CV914-0024	BMA-BRCA2-GERMLINE-BREAST	BMA	bma_brca2_germline_breast.yaml	missing-trial-source	docs/reviews/citation-verification-2026-04-27.md:94
CV914-0025	BMA-BRCA2-GERMLINE-BREAST	BMA	bma_brca2_germline_breast.yaml	missing-regulatory-source	docs/reviews/citation-verification-2026-04-27.md:95
CV914-0026	BMA-BRCA2-GERMLINE-BREAST	BMA	bma_brca2_germline_breast.yaml	drug-inconsistency	docs/reviews/citation-verification-2026-04-27.md:96
CV914-0027	BMA-BRCA2-GERMLINE-PROSTATE	BMA	bma_brca2_germline_prostate.yaml	missing-trial-source	docs/reviews/citation-verification-2026-04-27.md:99
CV914-0028	BMA-BRCA2-GERMLINE-PROSTATE	BMA	bma_brca2_germline_prostate.yaml	missing-trial-source	docs/reviews/citation-verification-2026-04-27.md:100
CV914-0029	BMA-BRCA2-GERMLINE-PROSTATE	BMA	bma_brca2_germline_prostate.yaml	missing-trial-source	docs/reviews/citation-verification-2026-04-27.md:101
CV914-0030	BMA-BRCA2-GERMLINE-PROSTATE	BMA	bma_brca2_germline_prostate.yaml	missing-regulatory-source	docs/reviews/citation-verification-2026-04-27.md:102
CV914-0031	BMA-BRCA2-GERMLINE-PROSTATE	BMA	bma_brca2_germline_prostate.yaml	drug-inconsistency	docs/reviews/citation-verification-2026-04-27.md:103
CV914-0032	BMA-EGFR-C797S-NSCLC	BMA	bma_egfr_c797s_nsclc.yaml	missing-trial-source	docs/reviews/citation-verification-2026-04-27.md:106
CV914-0033	BMA-EGFR-C797S-NSCLC	BMA	bma_egfr_c797s_nsclc.yaml	missing-regulatory-source	docs/reviews/citation-verification-2026-04-27.md:107
CV914-0034	BMA-EGFR-C797S-NSCLC	BMA	bma_egfr_c797s_nsclc.yaml	level-mismatch	docs/reviews/citation-verification-2026-04-27.md:108
CV914-0035	BMA-EGFR-C797S-NSCLC	BMA	bma_egfr_c797s_nsclc.yaml	drug-inconsistency	docs/reviews/citation-verification-2026-04-27.md:109
CV914-0036	BMA-EGFR-C797S-NSCLC	BMA	bma_egfr_c797s_nsclc.yaml	drug-inconsistency	docs/reviews/citation-verification-2026-04-27.md:110
CV914-0037	BMA-EGFR-EX19DEL-NSCLC	BMA	bma_egfr_ex19del_nsclc.yaml	missing-trial-source	docs/reviews/citation-verification-2026-04-27.md:113
CV914-0038	BMA-EGFR-EX19DEL-NSCLC	BMA	bma_egfr_ex19del_nsclc.yaml	missing-trial-source	docs/reviews/citation-verification-2026-04-27.md:114
CV914-0039	BMA-EGFR-EX19DEL-NSCLC	BMA	bma_egfr_ex19del_nsclc.yaml	missing-regulatory-source	docs/reviews/citation-verification-2026-04-27.md:115
CV914-0040	BMA-EGFR-EX19DEL-NSCLC	BMA	bma_egfr_ex19del_nsclc.yaml	drug-inconsistency	docs/reviews/citation-verification-2026-04-27.md:116
CV914-0041	BMA-EGFR-EX19DEL-NSCLC	BMA	bma_egfr_ex19del_nsclc.yaml	drug-inconsistency	docs/reviews/citation-verification-2026-04-27.md:117
CV914-0042	BMA-EGFR-L858R-NSCLC	BMA	bma_egfr_l858r_nsclc.yaml	missing-trial-source	docs/reviews/citation-verification-2026-04-27.md:120
CV914-0043	BMA-EGFR-L858R-NSCLC	BMA	bma_egfr_l858r_nsclc.yaml	missing-trial-source	docs/reviews/citation-verification-2026-04-27.md:121
CV914-0044	BMA-EGFR-L858R-NSCLC	BMA	bma_egfr_l858r_nsclc.yaml	missing-trial-source	docs/reviews/citation-verification-2026-04-27.md:122
CV914-0045	BMA-EGFR-L858R-NSCLC	BMA	bma_egfr_l858r_nsclc.yaml	missing-regulatory-source	docs/reviews/citation-verification-2026-04-27.md:123
CV914-0046	BMA-EGFR-L858R-NSCLC	BMA	bma_egfr_l858r_nsclc.yaml	drug-inconsistency	docs/reviews/citation-verification-2026-04-27.md:124
CV914-0047	BMA-MLH1-GERMLINE-ENDOMETRIAL	BMA	bma_mlh1_germline_endometrial.yaml	missing-trial-source	docs/reviews/citation-verification-2026-04-27.md:127
CV914-0048	BMA-MLH1-GERMLINE-ENDOMETRIAL	BMA	bma_mlh1_germline_endometrial.yaml	missing-trial-source	docs/reviews/citation-verification-2026-04-27.md:128
CV914-0049	BMA-MLH1-GERMLINE-ENDOMETRIAL	BMA	bma_mlh1_germline_endometrial.yaml	missing-regulatory-source	docs/reviews/citation-verification-2026-04-27.md:129
CV914-0050	BMA-MLH1-GERMLINE-ENDOMETRIAL	BMA	bma_mlh1_germline_endometrial.yaml	drug-inconsistency	docs/reviews/citation-verification-2026-04-27.md:130
CV914-0051	BMA-MLH1-GERMLINE-ENDOMETRIAL	BMA	bma_mlh1_germline_endometrial.yaml	drug-inconsistency	docs/reviews/citation-verification-2026-04-27.md:131
CV914-0052	BMA-MLH1-SOMATIC-ENDOMETRIAL	BMA	bma_mlh1_somatic_endometrial.yaml	missing-trial-source	docs/reviews/citation-verification-2026-04-27.md:134
CV914-0053	BMA-MLH1-SOMATIC-ENDOMETRIAL	BMA	bma_mlh1_somatic_endometrial.yaml	missing-trial-source	docs/reviews/citation-verification-2026-04-27.md:135
CV914-0054	BMA-MLH1-SOMATIC-ENDOMETRIAL	BMA	bma_mlh1_somatic_endometrial.yaml	missing-regulatory-source	docs/reviews/citation-verification-2026-04-27.md:136
CV914-0055	BMA-MLH1-SOMATIC-ENDOMETRIAL	BMA	bma_mlh1_somatic_endometrial.yaml	drug-inconsistency	docs/reviews/citation-verification-2026-04-27.md:137
CV914-0056	BMA-MLH1-SOMATIC-ENDOMETRIAL	BMA	bma_mlh1_somatic_endometrial.yaml	drug-inconsistency	docs/reviews/citation-verification-2026-04-27.md:138
CV914-0057	BMA-MSH2-GERMLINE-ENDOMETRIAL	BMA	bma_msh2_germline_endometrial.yaml	missing-trial-source	docs/reviews/citation-verification-2026-04-27.md:141
CV914-0058	BMA-MSH2-GERMLINE-ENDOMETRIAL	BMA	bma_msh2_germline_endometrial.yaml	missing-trial-source	docs/reviews/citation-verification-2026-04-27.md:142
CV914-0059	BMA-MSH2-GERMLINE-ENDOMETRIAL	BMA	bma_msh2_germline_endometrial.yaml	missing-regulatory-source	docs/reviews/citation-verification-2026-04-27.md:143
CV914-0060	BMA-MSH2-GERMLINE-ENDOMETRIAL	BMA	bma_msh2_germline_endometrial.yaml	drug-inconsistency	docs/reviews/citation-verification-2026-04-27.md:144
